Index,Description,positive,neutral,negative,intensity,cluster
1,You must login to keep earning daily check-in points,0.12537048757076263,0.8633383512496948,0.01129113044589758,0.11,0
2,,0.22552381455898285,0.6808649897575378,0.09361119568347931,0.13,-1
3,Lifetime,0.2531532049179077,0.7109426259994507,0.035904254764318466,0.22,3
4,Expired,0.1294214427471161,0.7552790641784668,0.11529955267906189,0.01,-1
5,Redeemed,0.1376703679561615,0.8219631910324097,0.040366411209106445,0.1,0
6,Total redeemable TimesPoints,0.5763070583343506,0.4019720256328583,0.02172088623046875,0.55,-1
7,* TimesPoints expire in 1 year from the day of credit,0.04312322288751602,0.9097104072570801,0.04716642200946808,-0.0,0
8,,0.22552381455898285,0.6808649897575378,0.09361119568347931,0.13,-1
9,"Regular exercise benefits health, yet determining the best time to work out depends on individual preferences and schedules. Morning sessions can enhance metabolism and mood, afternoon workouts improve performance, and evening exercise aids relaxation. Choose a consistent routine that aligns with personal energy levels and fitness goals for optimal results. ",0.7142816185951233,0.27582162618637085,0.009896797128021717,0.7,-1
10,Defending US Open champion Novak Djokovic kept his bid for a record 25th Grand Slam title on track on Wednesday after fellow Serb Laslo Djere retired injured while trailing 6-4 6-4 2-0 in their second-round match. Djokovic had needed five sets to get past Djere in the third round a year ago and it looked as though Arthur Ashe Stadium would see another epic clash between the two as Djere went up a break in the second set.,0.21038773655891418,0.7826285362243652,0.006983735132962465,0.2,3
11,"The New Delhi transport department is introducing a new system to simplify the payment of road challans. Violators will receive automated messages containing payment details through SMS and WhatsApp. Additionally, payments can be made via UPI apps such as Bhim and Google Pay, enhancing convenience and increasing governmental revenue. The system is expected to be launched soon.",0.4977034330368042,0.4960808753967285,0.006215753499418497,0.49,-1
12,"Japan will initiate a program in fiscal 2025 to support single women moving from Tokyo to rural areas for marriage. The program will cover travel expenses for matchmaking events and offer financial incentives for relocation. This aims to address the declining number of young women in rural areas, a key concern in Japan's demographic crisis.",0.14522194862365723,0.8388418555259705,0.01593621075153351,0.13,0
13,"Israel's large-scale military operation in the occupied West Bank caused 11 Palestinian fatalities, including militants and civilians. The United Nations and Palestinian health ministry reported disruptions to medical services. Amid ongoing Gaza conflict, international voices, including Jordan's monarchy, called for a ceasefire to halt the escalating violence. Israel targeted infrastructure and addressed security concerns, intensifying regional tensions.",0.006507151294499636,0.17208409309387207,0.821408748626709,-0.81,1
14,"Sajeeb Wazed Joy, son of former Bangladesh Prime Minister Sheikh Hasina, called the death of journalist Rahanuma Sarah an attack on freedom of expression. Sarah, a Gazi TV newsroom editor, was found dead in Hatirjheel lake in Dhaka; initial police suspicion points to suicide, with further investigation pending to establish the cause of her death.",0.010006599128246307,0.4130091369152069,0.5769842863082886,-0.57,2
15,"Babar Azam is once again facing scrutiny after scoring 0 and 22 in the first Test against Bangladesh in Rawalpindi. The hosts lost the match on the final day by 10 wickets due to a dramatic batting collapse. Babar's continued poor form has drawn attention from both fans and critics, raising concerns about his performance.",0.007577236276119947,0.20827601850032806,0.784146785736084,-0.78,1
16,"A small boy broke a 3,500-year-old jar at an Israel museum. The jar, from the Bronze Age, was displayed without protective barriers, and the curious child, who went to see what was inside, pulled on it which led to the shattering of jar. The museum has enlisted a conservation specialist for restoration. Last year, an American tourist damaged Roman statues in Jerusalem, stating they were against his religious beliefs.",0.017753813415765762,0.45313864946365356,0.5291075110435486,-0.51,2
17,"Cristiano Ronaldo, at the age of 39, has set an ambitious goal of reaching 1,000 career goals, having already netted 899. In an interview with Rio Ferdinand, he expressed his relentless drive and competitive spirit. Ronaldo highlighted the verifiable nature of his goals, contrasting them with those of past legends. His determination remains undeterred.",0.8131228089332581,0.1831274926662445,0.003749734489247203,0.81,-1
18,"UK ministers plan to extend the indoor smoking ban to outdoor venues, including pub gardens and football stadiums. Prime Minister Keir Starmer, backed by Chris Whitty, believes the health benefits will outweigh the impact on the hospitality sector. Public consultation will determine the final decision. This move aims to contribute to the goal of a smoke-free England by 2030.",0.2553269863128662,0.7303617596626282,0.014311186037957668,0.24,3
19,"Heavy rainfall on Thursday morning led to severe waterlogging and traffic congestion in various parts of Delhi. Major routes like MB Road, Rohtak Road, and areas near Saket Metro Station were significantly affected. Commuters faced major delays as vehicles struggled through flooded streets, with some even breaking down, adding to the chaos.",0.010309227742254734,0.19586323201656342,0.7938275337219238,-0.78,1
20,"India's left-arm spinner Radha Yadav found herself trapped in severe Vadodara flooding, rescued by the NDRF. She shared her ordeal on Instagram, showing footage of submerged areas. Irfan Pathan also advised residents to stay indoors. The India Meteorological Department predicts more heavy rains in the region, signaling that the crisis isn't over yet.",0.022480137646198273,0.5644711256027222,0.41304874420166016,-0.39,4
21,"During a rally in Erie, Pennsylvania, Ohio Senator JD Vance condemned the media for overstating an incident involving Donald Trump’s campaign at Arlington National Cemetery, asserting they had proper authorization. Vance also criticized Vice President Kamala Harris for her role in the U.S. military's withdrawal from Afghanistan, further intensifying the political discourse.",0.012387246824800968,0.5330713987350464,0.45454132556915283,-0.44,4
22,"Seventy residents of Ahmedabad's Madhumalti Housing Scheme were rescued after severe flooding submerged the area. Despite promises and significant investments since 2017, flooding persists. Efforts to divert stormwater to Singarva lake have failed due to the lake being overwhelmed. Authorities continue to search for lasting solutions while residents remain in distress.",0.011090978048741817,0.23861756920814514,0.7502914667129517,-0.74,1
23,"India's National Sports Day, celebrated annually on August 29 since being established in 2012, honors hockey legend Major Dhyan Chand. It is also his birth anniversary. The day aims to highlight the value of sports and physical fitness, echoing the Indian government's initiatives to promote a healthier, more active lifestyle.",0.9495726227760315,0.049020927399396896,0.0014064769493415952,0.95,-1
24,"Defending champion Coco Gauff cleaned up early mistakes to beat unseeded German Tatjana Maria 6-4 6-0 in a lopsided second round meeting at the U.S. Open on Wednesday. The American beat Maria in Auckland last year and she held on to the blueprint, roaring back from an error-riddled first set to sweep through the second and close out the affair with a sublime backhand winner.",0.405979186296463,0.5896011590957642,0.004419645294547081,0.4,-1
25,"Ohio Senator JD Vance addressed a viral incident at a Valdosta, Georgia donut shop, where his campaign stop became awkward and heavily criticized online. Vance attributed the mishap to the clerk's nervousness due to the large presence of Secret Service agents and media. He also mentioned potential changes to his campaign strategy to prevent similar issues.",0.015796149149537086,0.5980238318443298,0.38618001341819763,-0.37,4
26,"Nvidia's latest quarterly report met or exceeded analyst expectations but failed to impress investors. Challenges in producing the new Blackwell chips led to a significant stock decline. Despite these hurdles, the company anticipates substantial revenue from Blackwell in the fourth quarter and continues to see high demand for its existing products. ",0.06647513061761856,0.4790446162223816,0.4544801712036133,-0.39,-1
27,"According to a WHO report, European teens' condom use has notably declined, raising the risk of STIs and unplanned pregnancies. The survey exposes significant drops in protected sex among teenagers and highlights socioeconomic disparities. WHO emphasizes comprehensive sexuality education and urges immediate government and health authority action to address these issues.",0.015092569403350353,0.4075981378555298,0.577309250831604,-0.56,2
28,"In a historic move, President Masoud Pezeshkian appointed Fatemeh Mohajerani as Iran's new government spokesperson, marking the first time a woman holds this position. Mohajerani, with a Doctorate in Business Administration, brings significant experience from previous roles in education and government. She joins other high-ranking women like Shina Ansari and Farzaneh Sadeq Malvajard.",0.639209508895874,0.35433629155158997,0.006454176735132933,0.63,-1
29,"In Badlapur, the SIT examining the sexual assault of two nursery students discovered CCTV footage of the suspect. A separate FIR was filed based on the first victim's testimony to reinforce the case. The school had not acted on the parents' initial complaint. Teacher statements were also recorded as the investigation proceeded.",0.010274040512740612,0.5607564449310303,0.42896950244903564,-0.42,4
30,"Water supply to Bandra West, Khar West, and Khar Danda in Mumbai's H-West ward will be cut from 10 am to 12 pm on August 30. The interruption is due to works aimed at replacing an old water main pipeline with a new one between Ramdas Naik Marg and Road No. 32.",0.015162676572799683,0.676569938659668,0.30826738476753235,-0.29,-1
31,"Umran Malik's swift rise in the IPL led to an India call-up, but he hasn't played for the national team in over a year. Former bowling coach Paras Mhambrey attributes this to Malik's limited red-ball experience, emphasizing the necessity of First-Class cricket in developing a bowler's skills and endurance for sustained success in international cricket.",0.06695867329835892,0.8724334239959717,0.060607898980379105,0.01,0
32,"A scheduled call between President Joe Biden and President Xi Jinping is planned, following a meeting between US National Security Adviser Jake Sullivan and Chinese Foreign Minister Wang Yi. Issues such as Taiwan, military tensions, and trade policies were discussed, with a focus on maintaining peace and collaboration in climate change and illicit drug enforcement.",0.09885480999946594,0.8953696489334106,0.005775512661784887,0.09,0
33,"The FBI disclosed that Thomas Matthew Crooks, a 20-year-old from Pennsylvania, attempted to assassinate former US President Donald Trump during a rally in Butler. Engaging in detailed planning, Crooks targeted the rally as an opportune event. Trump was grazed by a bullet before Secret Service snipers neutralized the attacker with an AR-style rifle found on the scene.",0.008623582310974598,0.27433308959007263,0.7170433402061462,-0.71,1
34,"On Thursday morning, heavy rainfall in Delhi resulted in significant waterlogging and traffic congestion across the city. Key areas such as Mehrauli-Badarpur Road and Dhaula Kuan were severely affected, with commuters battling through water-filled streets. The downpour followed a night of continuous rain, thunderstorms, and lightning in the National Capital Region, causing substantial disruption.",0.010871464386582375,0.22591303288936615,0.7632154822349548,-0.75,1
35,"India is poised to commission its second nuclear-powered submarine, INS Arighat, equipped with nuclear-tipped ballistic missiles. This 112-meter vessel will fortify the nation's strategic deterrence by joining INS Arihant. Defence Minister Rajnath Singh will oversee the ceremony in Visakhapatnam. This move marks a pivotal advancement in India's maritime security framework.",0.478779673576355,0.5156499743461609,0.005570387002080679,0.47,-1
36,"During BJP’s 12-hour Bengal bandh, two men were injured in Bhatpara shootings aimed at a BJP youth wing member’s car, leading to eight arrests. Accusations flew between BJP's Arjun Singh and Trinamool's Ichini. Further clashes necessitated police intervention. Major business hubs faced disruptions, causing significant financial losses, but local transport remained largely unaffected.",0.00733917998149991,0.2162114828824997,0.7764493227005005,-0.77,1
37,"The Hemant Soren government is accused of spying on ex-Jharkhand CM Champai Soren for five months, with elements of phone-tapping and a potential honeytrap. This surveillance involved Special Branch officers, who were detained briefly in Delhi. Champai, feeling sidelined for Hemant Soren, is reportedly set to join the BJP, according to Assam CM Himanta Sarma.",0.01387400645762682,0.6404767632484436,0.34564921259880066,-0.33,4
38,"A viral deepfake video falsely shows Virat Kohli criticizing Shubman Gill's potential. The AI-manipulated clip mimics Kohli's voice and expressions, questioning Gill's ability to become a legend. This incident is the second deepfake targeting Kohli this year. Kohli and Gill share a good rapport. Kohli is returning for the Test series against Bangladesh next month.",0.04788461700081825,0.5589727163314819,0.3931427299976349,-0.35,4
39,"Sebi has warned investors about fraudulent practices by promoters of SMEs, who artificially inflate stock prices through misleading information and corporate actions, then sell their holdings at high prices, leaving investors with worthless shares. The regulator highlighted recent actions against Debock Industries for such activities, urging caution in the SME space.",0.014006626792252064,0.3367428779602051,0.6492504477500916,-0.64,-1
40,"At a rally in Erie, Pennsylvania, Senator JD Vance strongly condemned Vice President Kamala Harris, blaming her for the deaths of 13 American service members during the 2021 Afghanistan withdrawal. He criticized her lack of action and accountability, accusing her of shifting blame onto Donald Trump instead of addressing the issues head-on. Neither Trump nor Harris campaigns have responded yet.",0.005698553752154112,0.18025706708431244,0.8140443563461304,-0.81,1
41,"The cabinet committee on economic affairs has cleared the development of 12 new industrial cities with a total investment of Rs 28,600 crore. These cities will be spread across multiple states and are expected to generate around 10 lakh jobs. Basic infrastructure for these projects is aimed to be developed within three years.",0.6327142715454102,0.3613717555999756,0.005913962610065937,0.63,-1
42,"In Anakapalli, Andhra Pradesh, a chemical blast at a pharmaceutical unit killed 17 workers. The incident was triggered by a leak of methyl tert-butyl ether (MTBE), which went unattended during lunch. Despite detecting the leak earlier, it was not addressed until too late, causing the vapors to explode and resulting in severe casualties.",0.005649595521390438,0.1481006145477295,0.8462497591972351,-0.84,1
43,"Vice President Kamala Harris and Tim Walz visited Liberty County High School, Georgia as part of their campaign tour. Harris interacted with students and encouraged them. They also stopped at a local restaurant. The campaign aims to connect with traditionally Republican areas and secure a victory in the battleground state ahead of the November election.",0.6503249406814575,0.34715384244918823,0.0025211756583303213,0.65,-1
44,"The FBI disclosed that Thomas Crooks, 20, attempted to assassinate Donald Trump at a July rally in Pennsylvania after extensive research on both Trump and Biden. Nearly 1,000 interviews were conducted, but Crooks' motive remains unclear. Authorities highlighted his mixed ideologies and focus on opportunistic targets. An FBI official said that the suspected shooter exhibited a mix of ideologies and did not align strictly with either right-leaning or left-leaning views. ",0.008750051259994507,0.4417213797569275,0.5495285987854004,-0.54,2
45,"On the 10th anniversary of the Jan Dhan scheme, PM Narendra Modi highlighted how Congress, despite nationalizing banks, failed to provide banking access to the poor. Modi emphasized that the initiative has significantly impacted SC, ST, and OBC families, making various social security schemes more effective and accessible to India's underserved communities.",0.12590421736240387,0.6047504544258118,0.26934537291526794,-0.14,-1
46,"Pakistan-born Shazeb Khalid admitted to killing Indian restaurant manager Vignesh Pattabi-Raman in the UK on Valentine’s Day. Khalid, who denied intending to kill Raman, was allegedly hired to intimidate him. Raman was struck by Khalid’s car while cycling, leading to a murder charge against Khalid. ",0.006098161917179823,0.22257474064826965,0.771327018737793,-0.77,1
47,"During the first Council of Ministers meeting in his third term, Prime Minister Narendra Modi assured continued development at the same speed over the next five years. Secretaries presented blueprints for the future and 2047 ambitions. Modi emphasized the importance of using social media to disseminate information about governmental decisions to the public.",0.75156569480896,0.24444891512393951,0.003985357470810413,0.75,-1
48,"Kamala Harris' presidential campaign has enlisted Brenda Abdelall, an Egyptian American lawyer and former Department of Homeland Security official, to engage Arab American voters. This step aims to address dissatisfaction within the community concerning U.S. backing of Israel in Gaza. Arab and Muslim American votes are crucial in key states like Michigan, where Harris is scheduled to visit.",0.2310762256383896,0.7544925808906555,0.014431176707148552,0.22,3
49,"The Competition Commission of India has approved the merger of Reliance Industries and Walt Disney India's media assets, with specific modifications. This merger aims to establish an $8.5-billion entertainment powerhouse to compete with Amazon, Netflix, and Sony Pictures Networks. The companies will divest several TV channels and cap advertisement prices for streamed cricket matches for approval.",0.2921496629714966,0.7011394500732422,0.006710834801197052,0.29,3
50,"The Supreme Court reprimanded Maharashtra's counsel in a land compensation case over a 'contemptuous' affidavit by a senior IAS officer. Alleging delaying tactics, the court noted the state failed to provide the current land value. The decision on whether to offer monetary compensation or an alternative land parcel remains unresolved.",0.006974232383072376,0.297275185585022,0.6957505345344543,-0.69,1
51,"Flipkart's new mandate for sellers to verify their GSTIN through OTP has caused concern among sellers, who fear it could lead to unauthorized access to their confidential data and sales on rival marketplaces. Flipkart stated that the OTP is for validating GST registration to prevent misuse of GST numbers by unauthorized persons.",0.016351373866200447,0.5901024341583252,0.3935461640357971,-0.38,4
52,"An anonymous blog by two professors at Russell Group universities reveals that a significant number of international students in the UK fall short of the required English skills to earn their degrees, yet they still receive them. This challenge predominantly impacts master’s programs and threatens the global reputation of UK's higher education.",0.010394399985671043,0.24362154304981232,0.7459840774536133,-0.74,1
53,"Prince Harry's memoir, Spare, is set for a paperback release on October 24, the same day as King Charles's Commonwealth summit in Samoa. Royal experts are concerned this timing could revive tensions within the family. The release, without new content, may attract more readers, potentially overshadowing the King's commitments and reigniting controversy.",0.02218497171998024,0.7822357416152954,0.19557926058769226,-0.17,-1
54,"Authorities in Satna district of Madhya Pradesh arrested three men and detained a minor after they allegedly pushed stray cattle into a swollen river, killing several animals. The incident took place in Bamhor village and was captured on video by a local. The suspects claimed frustration over crop damage by the cattle.",0.00456182099878788,0.19351108372211456,0.8019270896911621,-0.8,1
55,"Last week, eight individuals, including four illegal immigrants, were arrested in Florida for allegedly stealing $7,300 worth of palmetto berries. The suspects loaded around 9,000 pounds of berries into a U-Hau. Brevard County Sheriff Wayne Ivey publicly criticised Washington DC lawmakers for their failure to enforce border security, emphasising that illegal immigration leads to further crimes. Ivey noted that some suspects had previously been deported and expressed frustration over the inability to deport individuals with pending court dates or nonviolent crimes.",0.006650521419942379,0.23003828525543213,0.7633111476898193,-0.76,1
56,"Kolkata saw over 20 political demonstrations, one doctors' protest, and a citizens' march on Wednesday, indicating a political shift in the 'Justice for RG Kar' movement. The BJP's 12-hour bandh underscored this change, with clashes occurring but junior doctors marching towards Esplanade to demand justice for the Aug 9 RG Kar crime, despite disruptions.",0.0879899337887764,0.8686999678611755,0.04331011325120926,0.04,0
57,"Former county official Robert Telles has been convicted of murdering veteran journalist Jeff German after German published articles critical of him. The incident occurred in September 2022, outside German's home. Despite Telles's claims of being framed, DNA and video evidence implicated him. The jury's decision is seen as justice for German, who spent his career addressing issues like political corruption. The case highlights the peril journalists face while holding officials accountable.",0.011368555948138237,0.3621583878993988,0.626473069190979,-0.62,2
58,"In Bahraich, Uttar Pradesh, three elusive wolves have killed seven villagers and injured 22 others over 45 days. Despite continuous efforts from 25 forest department teams equipped with advanced tools, the wolves remain uncaptured. Officials are using innovative tactics, like spreading elephant dung, while villagers engage in prayers to drive away the threat.",0.009587699547410011,0.21578428149223328,0.7746280431747437,-0.77,1
59,"Copyright © 2024 Bennett, Coleman & Co. Ltd. All rights reserved. For reprint rights: Times Syndication Service",0.028429493308067322,0.9573050737380981,0.014265388250350952,0.01,0
60,"Copyright © 2024 Bennett, Coleman & Co. Ltd. All rights reserved.For reprint rights: Times Syndication Service",0.030756980180740356,0.954856276512146,0.014386767521500587,0.02,0
